全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
382019,E3820100345201,谷町公園,タニマチコウエン,,382019,,愛媛県松山市谷町甲236,,,,,,33.88202939,132.7543172,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"6,300 ",,,,,
382019,E3820100542201,平田公園,ヒラタコウエン,,382019,,愛媛県松山市平田町乙393-1,,,,,,33.891258,132.751311,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,"6,000 ",,,,,
382019,E3820100064201,吉藤公園,ヨシフジコウエン,,382019,,愛媛県松山市吉藤2-481-1,,,,,,33.86936626,132.7590802,,,,,,,,382019,愛媛県松山市,1,1,1,1,1,,,,,,800 ,,,,,
382019,E3820100484201,おおつか公園,オオツカコウエン,,382019,,愛媛県松山市馬木町2185,,,,,,33.89332107,132.7438914,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,500 ,,,,,
382019,E3820100485201,ともくに公園,モクニコウエン,,382019,,愛媛県松山市馬木町2250,,,,,,33.89153989,132.7458306,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"1,200 ",,,,,
382019,E3820100482201,なかのちょう公園,ナカノチョウコウエン,,382019,,愛媛県松山市馬木町2142,,,,,,33.8932231,132.7472173,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,900 ,,,,,
382019,E3820100481201,むくのき公園,ムクノキコウエン,,382019,,愛媛県松山市馬木町2055,,,,,,33.89016837,132.7473782,,,,,,,,382019,愛媛県松山市,1,1,,1,1,,,,,,"1,000 ",,,,,
382019,E3820100218201,内新田公園,ウチシンデンコウエン,,382019,,愛媛県松山市勝岡町63,,,,,,33.89736611,132.7303137,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"3,300 ",,,,,
382019,E3820100217201,六町公園,ロクチョウコウエン,,382019,,愛媛県松山市勝岡町238,,,,,,33.90162053,132.7241929,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"2,200 ",,,,,
382019,E3820100216201,太衛門公園,タエモンコウエン,,382019,,愛媛県松山市勝岡町181,,,,,,33.8988622,132.7280714,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"5,400 ",,,,,
382019,E3820100326201,太山寺本村公園,タイサンジホンムラコウエン,,382019,,愛媛県松山市太山寺町1587-1 外,,,,,,33.88254669,132.7227447,,,,,,,,382019,愛媛県松山市,1,,1,1,1,,,,,,"1,700 ",,,,,
382019,E3820100328201,清和公園,セイワコウエン,,382019,,愛媛県松山市太山寺町2244,,,,,,33.89224797,132.7222806,,,,,,,,382019,愛媛県松山市,1,,1,1,1,,,,,,"2,100 ",,,,,
382019,E3820100324201,太山寺小山公園,タイサンジコヤマコウエン,,382019,,愛媛県松山市太山寺町1355,,,,,,33.88792183,132.7273044,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"2,900 ",,,,,
382019,E3820100331201,大渕公園,オオブチコウエン,,382019,,愛媛県松山市太山寺町乙168-1,,,,,,33.88441267,132.7325347,,,,,,,,382019,愛媛県松山市,1,,,1,1,,,,,,"1,500 ",,,,,
382019,E3820100648201,和気公園,ワケコウエン,,382019,,愛媛県松山市和気町1-100,,,,,,33.88982834,132.737183,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"3,400 ",,,,,
382019,E3820100651201,和気浜公園,ワケハマコウエン,,382019,,愛媛県松山市和気町2-989-2 外,,,,,,33.89687791,132.7343143,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,800 ",,,,,
382019,E3820100649201,和気松原公園,ワケマツバラコウエン,,382019,,愛媛県松山市和気町2-809-1 外,,,,,,33.90127706,132.7361248,,,,,,,,382019,愛媛県松山市,,1,,1,,,,,,,"1,600 ",,,,,
382019,E3820100452201,内宮公園,ウチミヤコウエン,,382019,,愛媛県松山市内宮町乙926-3,,,,,,33.89630432,132.7501593,,,,,,,,382019,愛媛県松山市,,1,,1,1,,,,,,"1,200 ",,,,,
